상품번호,그룹명,앨범명,멤버,재고,썸네일,옵션이미지,가격,포카마켓 이미지,충족 여부,원본 앨범명,표시,보유 재고,보유 재고 가격,보유재고 썸네일,보유재고 추가이미지,쇼피 스캔 등록여부,ebay 스캔 등록여부,shopify 스캔 등록여부,썸네일 완성여부,이미지 재생성 필요,ebay item id,ebay 보유재고 item id,ebay 스캔 item id,누적 판매 수,shopify_product_id,shopify 등록완료,이미지_승인상태,앞면,뒷면,joom 등록완료,joom product id
18173,BTS,D-icon vol.10 BTS goes on!,Jimin,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/1cb7316cd25a44fd83a7667023bec4bf.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18177,BTS,D-icon vol.10 BTS goes on!,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2025/03/11/0aec943603a4409da2c14c546023bf38.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
17949,BTS,D-icon vol.10 BTS goes on!,Jin,5,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/3b421d91f24b417fa6c721e40dd0c79d.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18179,BTS,D-icon vol.10 BTS goes on!,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/a044f9434ee549d3a1a8af2245e94778.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
25068,BTS,Love Yourself Tour Army Booth,V,3,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/44f06c78d29b4eb3ba6ec65c02a53a4f.jpg,TRUE,Love Yourself Tour Army Booth,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
347815,BTS,MERCH BOX #18,JUNGKOOK,2,,,,https://ndc.infludeo.com/media/photocard_blur/2025/03/31/6af155da4c5c4d4ca306e52c6afd0d32.jpg,TRUE,MERCH BOX #18,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
384315,BTS,MAP OF THE SOUL : 7,Jimin,0,,,,https://ndc.infludeo.com/media/photocard_blur/2025/07/24/971653b2a30540fd95397c6c6cccfd91.jpg,TRUE,MAP OF THE SOUL : 7,,,,,,FALSE,FALSE,FALSE,미완성,FALSE,,,,,,FALSE,pending,,,FALSE,
361754,BTS,DICON ISSUE N°16 V : VICON C-type DICON MALL,V,1,,,,https://ndc.infludeo.com/media/photocard_blur/2025/05/15/c472b1e87e544ff19d336a2b58bd34ed.jpg,TRUE,DICON ISSUE N°16 V : VICON C-type DICON MALL,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18148,BTS,D-icon vol.10 BTS goes on!,V,0,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/71c8d8b3b56a44a793cc3561b59fc7d3.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
305749,BTS,GOLDEN LP,JUNGKOOK,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/11/11/1edece219e92430bb4a6ddd83cfeb292.jpg,TRUE,GOLDEN LP,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18174,BTS,D-icon vol.10 BTS goes on!,Jimin,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/bfe0fb16adea45429b4298cfcc581304.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18155,BTS,D-icon vol.10 BTS goes on!,Jin,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/9eb3c50b83824885b7d8bfd4cce5e6cf.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
39811,BTS,Official Film Viewer Device Kit,Unit,3,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/279a3bc2f2c9445c9cb330109eee8450.jpg,TRUE,Official Film Viewer Device Kit,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
37774,BTS,D-icon vol.10 BTS goes on!,Unit,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/835e8c1725304c5f9dfa78114830827f.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18160,BTS,D-icon vol.10 BTS goes on!,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/b2011e6b4c284f74ae1d8d67d7bcdf8e.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18143,BTS,D-icon vol.10 BTS goes on!,JUNGKOOK,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/d6e5cea0f4554f368f687ddcfbaed9ff.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
284806,BTS,SUGA│Agust D TOUR 'D-DAY' THE MOVIE,SUGA,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/08/22/2d78cc3735434e10a776afa9245f490b.jpg,TRUE,SUGA│Agust D TOUR 'D-DAY' THE MOVIE,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18159,BTS,D-icon vol.10 BTS goes on!,Jin,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/95652a045ed74d3590b4b14e3bf2ac3c.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18161,BTS,D-icon vol.10 BTS goes on!,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/7a62e2fae10a4b4086e69b78e9b4969e.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
287707,BTS,MERCH BOX #15,SUGA,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/02/308705d4323d48a4bb1080ca08a18df1.jpg,TRUE,MERCH BOX #15,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
8892,BTS,D-icon vol.10 BTS goes on!,J-Hope,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/38774d01498f47f6a6ae52dd26b249c9.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18181,BTS,D-icon vol.10 BTS goes on!,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/e99d4e2c83ec4a02bbf3fdc707708a31.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18142,BTS,D-icon vol.10 BTS goes on!,JUNGKOOK,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/e6acb385d90842519f69b7a4f8e770a3.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
476911,BTS,MAP OF THE SOUL : 7,Jin,0,,,,https://d1sut5kn3lwnf7.cloudfront.net/media/photocard_blur/2026/06/01/be740dfaf4bd45ba968feb5478bb3e4c.jpg,TRUE,MAP OF THE SOUL : 7,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
163816,BTS,BTS 2021 MUSTER SOWOOZOO Stand Photo Card Binder,Unit,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/13/e98473932ac94d86a115410d1527a105.jpg,TRUE,BTS 2021 MUSTER SOWOOZOO Stand Photo Card Binder,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
30122,BTS,BTS 3RD MUSTER ARMY.ZIP+ DVD,Unit,2,,,,https://ndc.infludeo.com/media/photocard_blur/2025/07/21/5bd25ae4544f492d81f72b12aa38f215.jpg,TRUE,BTS 3RD MUSTER ARMY.ZIP+ DVD,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
37766,BTS,D-icon vol.10 BTS goes on!,Jimin,0,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/eb636ae2e4e243149537b29dff4909b2.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
313608,BTS,BTS PERMISSION TO DANCE ON STAGE - LAS VEGAS LUCKY DRAW,JUNGKOOK,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/12/06/39787b118ab4499c8a9ceba02796b5aa.jpg,TRUE,BTS PERMISSION TO DANCE ON STAGE - LAS VEGAS LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
72231,BTS,2018 LOVE YOURSELF TOUR JAPAN PASSPORT PHOTO CARD,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/e901d49c366c4c24a39ce8e2250665ac.jpg,TRUE,2018 LOVE YOURSELF TOUR JAPAN PASSPORT PHOTO CARD,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
4173,BTS,BTS 3RD MUSTER ARMY.ZIP+ DVD,Jin,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/11/797c7f5987ac4837ab33208dd0499dac.jpg,TRUE,BTS 3RD MUSTER ARMY.ZIP+ DVD,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
37185,BTS,Be Eco Bag,Unit,2,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/1fb7a5cdfebb4df390959669c765a3ec.jpg,TRUE,Be Eco Bag,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
313603,BTS,BTS PERMISSION TO DANCE ON STAGE - LAS VEGAS LUCKY DRAW,SUGA,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/12/06/6e8f43db499f49df9bce77ae2d093abd.jpg,TRUE,BTS PERMISSION TO DANCE ON STAGE - LAS VEGAS LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
27348,BTS,2017 SEASON'S GREETINGS,J-Hope,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/05/805261ba1afb416493268ca895e9da05.jpg,TRUE,2017 SEASON'S GREETINGS,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
13295,BTS,"BTS, THE BEST 7netshopping Edition",JUNGKOOK,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/2c86a905a9ef49628c7acd1ff407321c.jpg,TRUE,"BTS, THE BEST 7netshopping Edition",,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
16863,BTS,BE Essential Edition SOUND WAVE LUCKY DRAW,JUNGKOOK,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/dc206563e58e452596cfec3fbfc23a2a.jpg,TRUE,BE Essential Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18153,BTS,D-icon vol.10 BTS goes on!,SUGA,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/7de295927d394ee1b08929bbea0b37c7.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
377140,BTS,CAPSULE ALBUM MERCH: Capsule Merch Full Package WEVERSE,RM,3,,,,https://ndc.infludeo.com/media/photocard_blur/2025/07/02/670be5e584b842fbbccf88a6c7e4c818.jpg,TRUE,CAPSULE ALBUM MERCH: Capsule Merch Full Package WEVERSE,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
382641,BTS,Charm of HOPE Killin' It Girl ver.,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2025/07/18/1b0f0da38e25428183dde0a4c181a6fe.jpg,TRUE,Charm of HOPE Killin' It Girl ver.,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
31700,BTS,2018 Love Yourself Tour Japan Passport Photo Card,SUGA,1,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/809a0a3d43ba470b9a5075f29474ec9a.jpg,TRUE,2018 Love Yourself Tour Japan Passport Photo Card,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
24450,BTS,BE Essential Edition SOUND WAVE LUCKY DRAW,Jimin,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/62aa55dbaf6c45c095f334ae6c19705f.jpg,TRUE,BE Essential Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
13321,BTS,"BTS, THE BEST 7netshopping Edition",SUGA,0,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/f1bcf80d6d3243f4ad67a00dc52e6f1f.jpg,TRUE,"BTS, THE BEST 7netshopping Edition",,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
37772,BTS,D-icon vol.10 BTS goes on!,SUGA,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/0c301fbb318940dd8d9bc99d56fafb15.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
36861,BTS,BE Deluxe Edition SOUND WAVE LUCKY DRAW,Jimin,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/425a131777f34807870cfe3ee063ba5c.jpg,TRUE,BE Deluxe Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
13311,BTS,"BTS, THE BEST 7netshopping Edition",Jin,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/509d0e857656468db8e86c1248ccd60f.jpg,TRUE,"BTS, THE BEST 7netshopping Edition",,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
124925,BTS,BTS 10th Anniversary FESTA @YEOUIDO ARMY LOUNGE,JUNGKOOK,4,,,,https://ndc.infludeo.com/media/photocard_blur/2023/06/19/6a4d4b6cc8994228985d70d06e17f99e.jpg,TRUE,BTS 10th Anniversary FESTA @YEOUIDO ARMY LOUNGE,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18141,BTS,D-icon vol.10 BTS goes on!,JUNGKOOK,6,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/b2dea0989d86489d823ef0e99fbe94bd.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
10286,BTS,BTS 3RD MUSTER ARMY.ZIP+ DVD,V,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/11/8ac5ea8d8f8b44a784e8935295241c74.jpg,TRUE,BTS 3RD MUSTER ARMY.ZIP+ DVD,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
24398,BTS,BE Essential Edition SOUND WAVE LUCKY DRAW,J-Hope,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/53d36bbaff564b808b2b9bed9d0c4341.jpg,TRUE,BE Essential Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
4640,BTS,2017 SEASON'S GREETINGS,SUGA,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/05/0bf7bfab5e0b4b57b152c01c2dba8e74.jpg,TRUE,2017 SEASON'S GREETINGS,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
14130,BTS,BE Deluxe Edition SOUND WAVE LUCKY DRAW,SUGA,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/d581ea62d19549569e70f164029fa6f8.jpg,TRUE,BE Deluxe Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18149,BTS,D-icon vol.10 BTS goes on!,SUGA,5,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/556440d691aa4ce891ce846f84c06435.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
4686,BTS,BTS WORLD TOUR 'LOVE YOURSELF' NEWYORK Blu-ray,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/27/6bf97238afb944fcacfe928633c4edb9.jpg,TRUE,BTS WORLD TOUR 'LOVE YOURSELF' NEWYORK Blu-ray,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
254522,BTS,2022 BTS DALMAJUNG Stamp,Jimin,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/13/4b87957c3eba476580452f41fb53a918.jpg,TRUE,2022 BTS DALMAJUNG Stamp,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
14695,BTS,BE Essential Edition SOUND WAVE LUCKY DRAW,RM,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/20/ab89a1c341354595b35eb76ac767df37.jpg,TRUE,BE Essential Edition SOUND WAVE LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
26693,BTS,2018 Love Yourself Tour Japan Passport Photo Card,Jin,3,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/d166882c4aae454ead8be4c9b634c9d1.jpg,TRUE,2018 Love Yourself Tour Japan Passport Photo Card,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
10309,BTS,2017 SEASON'S GREETINGS,JUNGKOOK,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/05/976d67f6b66543998e037d323ad5146b.jpg,TRUE,2017 SEASON'S GREETINGS,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18139,BTS,D-icon vol.10 BTS goes on!,JUNGKOOK,8,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/4c500028643b4481b3bc80ebfec85383.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
